clientID,Holding Count,Total Value,Median Return,Average Return,CashPct,ACWI/AGG
36,233,14679336.01,-499.575,14784.754973275862,-0.1872413028850615,0.889551855403672
38,24,1322623.14,3203.99,4379.9425,0.0,357333.55
39,12,822126.3500000001,2390.89,23827.81818181818,0.0,811431.62
41,19,1565740.86,4440.6,6859.645555555555,0.0,452207.56
42,4,81438.29,-94.6,16035.173333333332,0.0,73329.05
45,23,1910851.75,1947.48,12917.366571428573,0.0,697530.68
50,32,1332567.52,2226.07,12100.616458333332,0.0,830797.9000000001
53,37,3272062.08,827.425,22162.32238095238,3.186364361399891,5.7929090408546955
54,20,447563.81,1719.34,5199.531363636364,0.0,171704.52000000002
58,19,2472438.83,17258.12,32007.79833333333,2.9506554061036168,1057039.02
62,41,3595473.62,2091.32,36737.36860227273,2.6892932675723538,17.113293506577413
64,31,2221235.7,2029.31,6375.642,0.0,839116.71
66,19,568803.39,5243.6,6915.276111111111,0.0,251984.17999999996
71,40,966075.68,434.87,585.6602222222222,0.0,426098.95999999996
72,21,3226824.35,2417.78,6685.50294117647,0.0,840994.99
73,28,2176493.72,12011.56,29441.509655172416,4.3917921343692194,1098546.08
75,19,8577156.04,25240.625,182078.4595,0.0,4580268.09
82,21,1715655.28,2142.99,11373.23375,0.0,948167.7200000001
85,24,1807284.06,3951.24,20521.829629629632,3.215100010343697,1022522.9999999999
87,16,4454292.01,79184.42,137546.27933333334,0.0,2590512.5
88,28,8687851.129999999,11577.97,48583.21466666667,0.0,3546986.14
91,40,2222225.1,365.735,5385.928620689655,0.0,3.9036713465537067
95,26,1659114.95,613.5,4054.469012345679,0.2196213107476368,645928.3300000001
96,21,861720.5499999999,631.645,31255.933,0.0,842336.93
99,20,18089648.96,126676.7335,405577.88278823526,6.302012949620002,1.0
102,6,194491.53,26249.27,29171.430000000004,0.0,194470.58000000002
103,15,511181.33,1834.905,2381.675,0.0,90093.87
106,38,2097795.3,8018.75,13916.40694255319,1.2093505977442127,1086020.09
107,38,4750995.2700000005,5580.79,18592.36545454545,0.0,4.6006689124762286
108,24,3145583.92,4354.91,10094.698048780489,20.345983965991284,1274528.2500000002
109,29,892503.94,1097.34,2682.9330232558136,0.0,300468.06
111,27,2449906.26,12156.195,38894.446071428574,-0.0226902559120772,1621489.1600000001
112,24,1704350.82,14236.37,27793.894347826088,0.0,886230.83
115,61,2442270.2,1668.04,4869.795277777778,0.0,1102109.2999999998
116,38,9378155.83,4531.14,34424.760533333334,0.0,3589378.3200000003
119,14,186290.77,415.07,2740.9915384615383,0.0,169818.60000000003
120,27,6974536.37,1951.075,21145.56571428572,1.3385348508835722,2828786.079999999
127,28,3809633.39,3310.7250000000004,8078.963947058823,0.0,1722208.69
129,6,6369599.32,461246.245,511516.2375000001,0.0022615237279948,3902316.98
130,2,6147.35,-1254.92,-1254.92,0.0,1.0
133,25,925299.9,485.295,1497.0892857142858,0.0,377760.81000000006
134,23,5254458.76,38439.29,107677.22913636365,0.0,3025202.1799999997
136,29,6375900.83,6216.84,46913.158444444445,0.0,2934106.6500000004
137,21,2992553.79,37604.03999999999,66609.497,0.0,1530921.45
138,32,2316187.62,2318.91,5611.435082222222,19.319245821718017,591530.97
141,17,3932237.51,43592.4845,114301.23704666666,0.9307929621982572,1.0
142,44,6949511.58,4577.81,16872.303738317758,0.0,3535883.98
143,26,3797604.97,4157.1,18438.292666666668,0.0,1756077.02
144,26,1929219.85,8523.205,16160.899803571428,0.0,794372.35
154,2,31461.86,5984.49,5984.49,0.0,24832.5
156,50,722462.98,-223.875,-521.5745833333333,-0.013159151767195,0.05097077684823578
158,22,4778318.35,7893.885,22142.04923076924,0.0,1421221.36
159,18,13751354.43,156860.3331,422160.90376666666,0.8308958261648123,1.0
160,21,740834.25,993.57,7473.18,32.051525695525015,147332.97999999998
161,33,3546223.25,6245.39,26482.6,4.886605489375211,2084659.92
165,38,1811661.56,1465.03,10203.176222222222,2.5391055932102464e-05,919962.9899999999
172,55,6182053.77,1554.76,13214.35258989899,0.8353853253528075,2644560.0399999996
173,17,3382165.29,36907.7955,96945.97156666666,0.9668439356492834,1.0
174,17,5651051.95,68697.9964,178925.80367857145,0.9799310020499812,1.0
175,26,3972029.57,3999.16,23581.148529411767,0.0,387.39422676404433
176,22,3826891.87,2085.405,12756.42325,0.0,1192424.0999999999
177,20,1011929.6,9199.71,14657.26052631579,0.0,552116.19
178,74,9050627.76,105.05,30977.38115384616,0.0,6.778408317902329
179,25,2081751.93,3646.015,6156.502407407407,4.803960959940121,674735.58
186,30,4545116.64,8716.79,15564.899285714286,2.239103373153477,2001060.3000000003
190,34,18704192.29,10923.615000000002,57312.23204545455,5.88103449186685e-07,131898.22755186722
194,20,582845.05,5717.99,9378.68052631579,0.0,303613.52
197,40,5230955.22,7863.6519,17434.700873033707,0.0,1992232.4500000002
199,22,3327335.99,2135.745,1811.053,0.0,735963.08
200,2,21926.78,9207.63,9207.63,0.0,1.0
207,26,4206562.77,16324.445,31463.31921052632,-1.0836607580207345,1608232.6600000001
209,25,7891233.32,4810.65,22258.778372093024,0.0,2118417.13
210,48,14465028.69,11304.71,58459.62731343283,-2.302321461900951,6755980.3
217,2,186507.24,,,0.9615712505316149,1.0
221,23,1532344.58,7838.434999999999,11894.007727272729,0.0,654264.5800000001
226,23,527913.68,2583.775,3745.45125,0.0,273448.07
228,20,665649.85,3850.94,4440.908947368422,0.0,164943.32
231,19,1048466.87,6563.73,6798.917894736842,0.0,146999.24
232,22,938682.71,7301.1,10078.904285714283,0.0,349956.23
233,36,1519265.59,1875.84,5644.653157894736,0.0006740098681495,906811.95
237,18,978652.91,6570.27,6678.151176470587,2.744596140831993,269886.01999999996
238,20,690189.38,2602.68,8444.170434782607,0.0,385501.26999999996
242,20,241470.25,2354.6,2910.9215789473687,0.0,85272.44
244,22,721880.41,818.04,3586.334615384615,0.0,190334.21
246,52,14834224.82,17318.11,199943.1146346154,7.602422665723088,807051.1
251,3,15639.84,6259.889999999999,6259.889999999999,0.0,1.0
253,21,5154764.87,4482.68,35258.54677419355,0.0,2085329.9899999998
257,161,53901529.14,-216.82,51489.02424657535,3.0832291894418784,2.1023536126158837
258,34,11668591.74,8227.715,34020.08975,2.861467754119916,8947442.57
262,12,135086.99,299.45,541.7594736842105,0.0,123226.36
263,28,16081565.58,4427.04,33685.5013592233,0.0,6183150.589999999
265,17,6467871.61,56603.9649,151761.22564666666,9.143307190663297,1.0
267,18,827222.58,6553.6183,38136.65346666667,0.2833348673823676,1.0
287,31,1648418.58,299.44,4987.41647887324,0.0,848947.7300000001
294,37,3418600.41,810.4100000000001,18924.87275862069,0.0,173.6986694625891
318,22,3374939.43,2606.99,5117.711428571429,3.986478062511481,573042.94
325,16,4055976.8,12373.5467,54834.28489642857,8.281465268736252,1.0
328,17,6397621.83,76392.07925000001,201600.03775714285,0.9633118624018452,1.0
330,213,22769373.45,-713.15,18425.40724590164,0.5454037208037449,1.0810929537693783
331,23,1703111.09,6414.57,17255.46285714286,0.6755073152626819,806914.63
332,17,7745854.0,118975.5137,281769.86932,5.056359440805365,1.0
334,59,987409.07,-235.175,-556.243448275862,0.0,0.028664431951017196
335,24,2752710.87,4227.95,11475.95411764706,2.204430572833826,1134272.35
336,33,2254317.45,1412.2,5340.866875000001,2.54880252113561,17.214072910270282
337,13,334801.11,567.155,11241.85357142857,0.9244802085632272,329940.05000000005
339,40,32181001.26,33253.79,96962.08473684212,2.0845771223216443,20090368.1
342,77,3229536.2,7110.264999999999,12116.422765957446,0.217972475428515,1926226.8
349,22,1478517.5,4179.47,2076.112413793104,0.0,664038.9099999999
350,35,3120079.16,-522.5,19221.20823529412,0.0,1.8702541326217514
351,19,3124661.1,29850.02,54136.96055555556,0.0,1285176.4099999997
353,17,926692.18,7705.665,12635.42125,-1.1617698122800604,349345.45999999996
356,27,2453058.52,150.455,4736.893563636364,41.35926728727205,1051580.23
357,16,1798907.59,20864.5175,54140.46838571429,0.4465610153993513,1.0
359,80,11499877.13,1125.31,27280.954845360822,7.105212349342727,7.447713357176388
360,55,3387278.26,2175.441,13115.447883783783,0.3599190578455754,839660.28
364,23,9772446.17,498.27,16839.53272727273,0.0,1.3106062166784025
365,160,14284852.8,11279.33,39270.38176393443,2.2817234770525605,26.521798873933143
366,21,1342022.43,2277.67,9538.4834375,7.640700163260313,504179.25000000006
368,19,862007.31,592.08,3804.250322580645,0.0,242133.88
369,38,6548039.74,6147.285,47094.74326923077,2.785389173584948,3460779.6999999997
370,40,7155507.65,3089.2,13954.61168831169,2.7816739179923875,3546590.2
371,15,2035312.41,5339.415,64562.55642857143,1.240603647672939,168681.75
374,20,2538037.05,20676.8,21670.016315789475,1.533496132375215,1070775.3699999999
376,23,1414236.06,8384.91,7198.401428571428,2.5442867013304693,297272.87
378,34,1730559.78,1927.36,8054.182045454546,2.7049721449090884,798816.6900000001
379,19,2908340.69,17454.005,24154.45833333333,2.6049929521840167,882590.4799999999
381,30,6113511.23,10753.11,41978.86481481482,3.146979906668136,2745714.02
383,21,346282.91,387.605,1031.090625,3.30896202760916,98630.29000000001
385,22,617711.3200000001,5151.67,9590.896666666666,1.7599240370080962,318219.69
386,22,655531.15,4396.69,8781.699565217392,6.165656658726285,324143.27999999997
389,15,607348.0,8769.32,26024.79642857143,2.6951599412527907,590979.0
